INDUSTRY,NSW,VIC,QLD,SA,WA,TAS,NT,ACT,TOTAL
"Agriculture, Forestry and Fishing","23,365","22,075","21,584","9,091","9,610","3,787",880,240,"90,651"
Mining,"4,861","1,617","10,044","1,986","20,763",305,446,27,"40,064"
Manufacturing,"62,289","67,857","38,931","17,116","18,758","4,281",624,"1,157","211,021"
"Electricity, Gas, Water and Waste Services","8,226","10,558","6,971","2,462","4,166","1,199",428,550,"34,567"
Construction,"48,439","41,309","33,693","9,405","18,256","2,369","1,504","1,980","156,968"
Wholesale Trade,"38,250","31,389","19,037","5,848","10,048","1,462",485,509,"107,022"
Retail Trade,"183,499","166,167","129,718","44,896","67,639","14,035","4,230","8,268","618,571"
Accommodation and Food Services,"119,840","104,795","98,707","30,762","48,001","11,117","4,116","7,393","424,891"
"Transport, Postal and Warehousing","40,947","34,172","28,635","6,753","14,139","2,255",999,992,"128,926"
Information Media and Telecommunications,"27,610","19,351","9,315","3,237","3,921","1,096",302,"1,464","66,291"
Financial and Insurance Services,"95,110","61,623","34,376","13,118","15,737","2,797",665,"1,835","225,280"
"Rental, Hiring and Real Estate Services","31,344","23,166","22,569","5,142","10,032","1,568",695,"1,565","96,089"
"Professional, Scientific and Technical Services","149,760","119,819","77,302","23,465","39,378","6,005","2,594","11,409","429,767"
Administrative and Support Services,"60,429","49,653","43,568","17,003","21,461","4,029","1,646","3,296","201,179"
Public Administration and Safety,"102,439","88,220","68,142","25,762","36,744","9,858","9,070","37,505","377,933"
Education and Training,"233,705","198,394","159,738","52,938","85,937","17,047","7,370","15,658","770,920"
Health Care and Social Assistance,"407,368","348,654","291,798","106,692","141,809","32,210","11,531","20,991","1,361,188"
Arts and Recreation Services,"25,199","26,721","18,915","5,940","11,058","2,259","1,240","2,452","93,826"
Other Services,"57,382","52,218","46,856","15,666","25,152","4,678","1,878","3,743","207,598"
Inadequately described,"46,664","37,617","28,563","6,457","15,860","1,418","1,033",987,"138,630"
Not stated,"21,600","18,907","13,964","4,056","6,273","1,318",770,922,"67,826"
