Sub-Industry,Industry,Males,Females,Persons
"Agriculture, Forestry and Fishing, nfd","Agriculture, Forestry and Fishing","2,217","1,068","3,286"
"Agriculture, nfd","Agriculture, Forestry and Fishing","19,033","8,334","27,368"
"Nursery and Floriculture Production, nfd","Agriculture, Forestry and Fishing",83,67,145
Nursery Production (Under Cover),"Agriculture, Forestry and Fishing",67,136,206
Nursery Production (Outdoors),"Agriculture, Forestry and Fishing","4,979","4,555","9,532"
Turf Growing,"Agriculture, Forestry and Fishing",839,250,"1,089"
Floriculture Production (Under Cover),"Agriculture, Forestry and Fishing",0,4,4
Floriculture Production (Outdoors),"Agriculture, Forestry and Fishing","1,268","1,135","2,406"
"Mushroom and Vegetable Growing, nfd","Agriculture, Forestry and Fishing",96,67,162
Mushroom Growing,"Agriculture, Forestry and Fishing","1,153","1,422","2,580"
Vegetable Growing (Under Cover),"Agriculture, Forestry and Fishing",815,514,"1,327"
Vegetable Growing (Outdoors),"Agriculture, Forestry and Fishing","10,130","6,147","16,273"
"Fruit and Tree Nut Growing, nfd","Agriculture, Forestry and Fishing","2,834","1,377","4,210"
Grape Growing,"Agriculture, Forestry and Fishing","4,296","1,713","6,009"
Kiwifruit Growing,"Agriculture, Forestry and Fishing",47,23,70
Berry Fruit Growing,"Agriculture, Forestry and Fishing","2,777","2,150","4,925"
Apple and Pear Growing,"Agriculture, Forestry and Fishing",950,503,"1,452"
Stone Fruit Growing,"Agriculture, Forestry and Fishing",554,243,805
Citrus Fruit Growing,"Agriculture, Forestry and Fishing","1,611",919,"2,527"
Olive Growing,"Agriculture, Forestry and Fishing",294,193,489
Other Fruit and Tree Nut Growing,"Agriculture, Forestry and Fishing","4,945","2,249","7,197"
"Sheep, Beef Cattle and Grain Farming, nfd","Agriculture, Forestry and Fishing",531,216,742
Sheep Farming (Specialised),"Agriculture, Forestry and Fishing","12,921","5,356","18,278"
Beef Cattle Farming (Specialised),"Agriculture, Forestry and Fishing","28,843","15,600","44,450"
Beef Cattle Feedlots (Specialised),"Agriculture, Forestry and Fishing",720,368,"1,091"
Sheep-Beef Cattle Farming,"Agriculture, Forestry and Fishing","5,308","2,206","7,521"
Grain-Sheep or Grain-Beef Cattle Farming,"Agriculture, Forestry and Fishing","13,513","4,762","18,276"
Rice Growing,"Agriculture, Forestry and Fishing",0,3,5
Other Grain Growing,"Agriculture, Forestry and Fishing","13,964","4,977","18,945"
"Other Crop Growing, nfd","Agriculture, Forestry and Fishing",7,0,10
Sugar Cane Growing,"Agriculture, Forestry and Fishing","3,332",884,"4,210"
Cotton Growing,"Agriculture, Forestry and Fishing",849,275,"1,121"
Other Crop Growing nec,"Agriculture, Forestry and Fishing","1,323",530,"1,856"
Dairy Cattle Farming,"Agriculture, Forestry and Fishing","11,479","5,971","17,445"
"Poultry Farming, nfd","Agriculture, Forestry and Fishing","1,243",493,"1,735"
Poultry Farming (Meat),"Agriculture, Forestry and Fishing","1,395",719,"2,115"
Poultry Farming (Eggs),"Agriculture, Forestry and Fishing","2,195","1,714","3,903"
Deer Farming,"Agriculture, Forestry and Fishing",15,16,27
"Other Livestock Farming, nfd","Agriculture, Forestry and Fishing",7,12,15
Horse Farming,"Agriculture, Forestry and Fishing","1,697","2,020","3,718"
Pig Farming,"Agriculture, Forestry and Fishing","1,478",605,"2,084"
Beekeeping,"Agriculture, Forestry and Fishing","1,179",460,"1,635"
Other Livestock Farming nec,"Agriculture, Forestry and Fishing",507,630,"1,136"
"Aquaculture, nfd","Agriculture, Forestry and Fishing",719,251,976
Offshore Longline and Rack Aquaculture,"Agriculture, Forestry and Fishing","1,670",559,"2,227"
Offshore Caged Aquaculture,"Agriculture, Forestry and Fishing",924,346,"1,272"
Onshore Aquaculture,"Agriculture, Forestry and Fishing",687,230,912
"Forestry and Logging, nfd","Agriculture, Forestry and Fishing",142,27,175
Forestry,"Agriculture, Forestry and Fishing","3,064",788,"3,846"
Logging,"Agriculture, Forestry and Fishing","2,318",304,"2,624"
"Fishing, Hunting and Trapping, nfd","Agriculture, Forestry and Fishing",101,11,109
"Fishing, nfd","Agriculture, Forestry and Fishing","2,371",557,"2,929"
Rock Lobster and Crab Potting,"Agriculture, Forestry and Fishing",820,203,"1,018"
Prawn Fishing,"Agriculture, Forestry and Fishing",281,64,345
Line Fishing,"Agriculture, Forestry and Fishing",43,6,46
"Fish Trawling, Seining and Netting","Agriculture, Forestry and Fishing",48,9,63
Other Fishing,"Agriculture, Forestry and Fishing",338,93,436
Hunting and Trapping,"Agriculture, Forestry and Fishing",269,50,321
"Agriculture, Forestry and Fishing Support Services, nfd","Agriculture, Forestry and Fishing",34,24,61
Forestry Support Services,"Agriculture, Forestry and Fishing","2,366","1,015","3,383"
"Agriculture and Fishing Support Services, nfd","Agriculture, Forestry and Fishing",495,211,704
Cotton Ginning,"Agriculture, Forestry and Fishing",297,174,466
Shearing Services,"Agriculture, Forestry and Fishing","1,896",706,"2,597"
Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing","11,213","4,126","15,340"
"Mining, nfd",Mining,"12,001","2,799","14,801"
Coal Mining,Mining,"41,789","7,827","49,616"
Oil and Gas Extraction,Mining,"14,231","4,463","18,693"
"Metal Ore Mining, nfd",Mining,590,123,713
Iron Ore Mining,Mining,"33,850","8,879","42,728"
Bauxite Mining,Mining,"2,341",666,"3,005"
Copper Ore Mining,Mining,"7,134","1,754","8,892"
Gold Ore Mining,Mining,"21,161","4,672","25,827"
Mineral Sand Mining,Mining,"2,963",742,"3,704"
Nickel Ore Mining,Mining,"1,680",366,"2,043"
Silver-Lead-Zinc Ore Mining,Mining,"4,010",689,"4,697"
Other Metal Ore Mining,Mining,"2,844",618,"3,458"
"Non-Metallic Mineral Mining and Quarrying, nfd",Mining,920,194,"1,118"
"Construction Material Mining, nfd",Mining,10,4,18
Gravel and Sand Quarrying,Mining,"1,506",248,"1,751"
Other Construction Material Mining,Mining,"4,296",816,"5,113"
Other Non-Metallic Mineral Mining and Quarrying,Mining,"2,725",698,"3,427"
"Exploration and Other Mining Support Services, nfd",Mining,50,3,57
"Exploration, nfd",Mining,197,60,253
Petroleum Exploration,Mining,874,240,"1,114"
Mineral Exploration,Mining,"6,128","1,892","8,019"
Other Mining Support Services,Mining,"13,395","2,324","15,715"
"Manufacturing, nfd",Manufacturing,"42,213","14,762","56,976"
"Food Product Manufacturing, nfd",Manufacturing,"7,301","5,219","12,515"
"Meat and Meat Product Manufacturing, nfd",Manufacturing,202,88,292
Meat Processing,Manufacturing,"24,005","9,885","33,892"
Poultry Processing,Manufacturing,"8,827","5,879","14,707"
Cured Meat and Smallgoods Manufacturing,Manufacturing,"3,120","2,053","5,172"
Seafood Processing,Manufacturing,963,630,"1,586"
"Dairy Product Manufacturing, nfd",Manufacturing,255,154,408
Milk and Cream Processing,Manufacturing,"2,636","1,109","3,749"
Ice Cream Manufacturing,Manufacturing,"1,005",713,"1,722"
Cheese and Other Dairy Product Manufacturing,Manufacturing,"7,693","4,083","11,777"
Fruit and Vegetable Processing,Manufacturing,"5,192","3,667","8,854"
Oil and Fat Manufacturing,Manufacturing,625,457,"1,080"
